ID;Country;owns_car;owns_TV;owns_house;owns_Phone;gender;Age
1;A;0;0;0;1;M;61
2;B;0;0;0;1;M;44
3;A;0;0;0;1;M;56
4;A;0;0;0;1;M;53
5;C;1;1;0;1;K;60
6;A;0;0;0;1;M;48
7;D;1;1;1;1;K;58
8;C;0;1;0;1;K;59
9;A;0;0;0;1;M;61
10;A;0;0;0;1;M;48
11;D;1;1;1;1;K;34
12;B;0;1;0;1;K;42
13;B;0;1;0;1;K;37
14;A;0;0;0;1;M;51
15;D;1;1;1;1;K;42
16;D;1;1;1;1;K;29
17;A;0;0;0;0;M;19
18;A;0;0;0;1;M;30
19;A;0;0;0;0;M;38
20;D;1;1;1;1;K;47
21;B;0;0;0;1;M;65
22;D;1;1;1;1;K;47
23;A;0;0;0;0;M;61
24;A;0;0;0;1;M;52
25;C;0;1;0;1;K;40
26;A;0;0;0;1;M;40
27;C;1;1;0;1;K;24
28;A;0;0;0;1;M;33
29;A;0;0;0;1;M;53
30;D;1;1;1;1;K;63
31;D;1;1;1;1;K;49
32;C;1;1;1;1;;60
33;A;0;0;0;1;M;28
34;C;1;1;1;1;K;46
35;D;1;1;1;1;K;26
36;B;0;0;0;1;K;54
37;C;1;1;1;1;K;33
38;C;1;1;1;1;K;52
39;D;1;1;1;1;K;64
40;A;0;0;0;1;M;38
41;A;0;0;0;1;M;53
42;C;1;1;1;1;K;29
43;A;0;0;0;1;M;40
44;D;1;1;1;1;K;39
45;A;0;0;0;1;M;22
46;B;0;0;0;1;M;35
47;B;0;0;0;1;M;64
48;A;0;0;0;1;M;53
49;C;1;1;1;1;K;30
50;A;0;0;0;1;M;60
51;A;0;;0;1;M;37
52;D;1;1;1;1;K;20
53;A;0;0;0;0;M;37
54;C;0;1;0;1;K;37
55;A;0;0;0;1;M;41
56;B;0;0;0;1;M;53
57;C;0;1;0;1;K;46
58;C;0;1;0;1;K;47
59;A;0;0;0;1;M;29
60;B;0;0;0;1;M;44
61;A;0;0;0;1;M;41
62;A;0;0;0;1;M;66
63;B;0;1;0;1;K;20
64;C;1;1;1;1;K;47
65;A;0;0;0;1;M;35
66;A;0;0;0;1;M;43
67;C;0;1;0;1;K;21
68;B;0;0;0;1;K;35
69;A;0;0;0;1;M;20
70;B;0;0;0;1;M;53
71;C;0;1;0;1;K;47
72;A;0;0;0;1;M;48
73;A;;0;0;1;M;45
74;B;0;0;0;1;K;55
75;A;0;0;0;1;M;24
76;B;0;0;;1;M;39
77;A;0;0;0;1;M;21
78;A;0;0;0;0;M;61
79;B;0;0;0;1;M;43
80;B;0;1;0;1;K;50
81;A;0;0;0;0;M;54
82;B;0;1;0;1;K;66
83;D;1;1;1;1;K;22
84;B;0;0;0;1;M;27
85;A;0;0;0;1;M;36
86;A;0;0;0;1;M;60
87;B;0;1;0;1;K;64
88;C;1;1;1;1;K;39
89;C;0;1;0;1;K;56
90;C;1;1;1;1;K;26
91;D;1;1;1;1;K;26
92;A;0;0;0;1;M;33
93;A;0;0;0;1;M;36
94;A;0;0;0;1;M;40
95;B;0;1;0;1;K;60
96;A;0;0;0;1;M;21
97;A;0;0;0;1;M;29
98;B;0;0;0;1;K;43
99;C;0;1;0;1;K;64
100;A;0;0;0;1;M;31
101;C;0;1;0;1;K;21
102;B;0;0;0;1;M;43
103;D;1;1;1;1;K;20
104;A;0;0;0;0;M;32
105;A;0;0;0;1;M;61
106;A;0;0;0;1;M;63
107;B;0;0;;1;M;36
108;B;0;0;0;1;M;57
109;B;0;1;0;1;K;41
110;B;0;0;0;1;M;59
111;B;0;1;0;1;K;49
112;A;0;0;0;1;M;40
113;A;0;0;0;0;M;20
114;A;0;0;0;0;M;21
115;C;0;1;0;1;K;57
116;A;0;0;0;1;M;58
117;A;0;0;0;1;M;27
118;C;1;1;1;1;K;57
119;A;0;0;0;0;M;51
120;D;1;1;1;1;K;44
121;C;0;1;0;1;K;27
122;A;0;0;0;1;M;49
